SHELL32+0x99ce5		SHELL32+0x99ce1
SHELL32+0x99cec		SHELL32+0x99ce8
SHELL32+0x99cf0		SHELL32+0x99cec
SHELL32+0x99cf8		SHELL32+0x99cf4
SHELL32+0x99e58		SHELL32+0x99e54
SHELL32+0x99e5a		SHELL32+0x99e56
SHELL32+0x99e5d		SHELL32+0x99e59
SHELL32+0x99d14		SHELL32+0x99d10
SHELL32+0x99d16		SHELL32+0x99d12
SHELL32+0x99d90		SHELL32+0x99d8c
SHELL32+0x99d93		SHELL32+0x99d8f
SHELL32+0x99d9b		SHELL32+0x99d97
SHELL32+0x99da1		SHELL32+0x99d9d
SHELL32+0x99da3		SHELL32+0x99d9f
SHELL32+0x99da6		SHELL32+0x99da2
SHELL32+0x99da8		SHELL32+0x99da4
SHELL32+0x99dae		SHELL32+0x99daa
SHELL32+0x99db1		SHELL32+0x99dad
SHELL32+0x99db9		SHELL32+0x99db5
SHELL32+0x99dbf		SHELL32+0x99dbb
SHELL32+0x99dc1		SHELL32+0x99dbd
SHELL32+0x99dc4		SHELL32+0x99dc0
SHELL32+0x99dc6		SHELL32+0x99dc2
SHELL32+0x99dcc		SHELL32+0x99dc8
SHELL32+0x99dcf		SHELL32+0x99dcb
SHELL32+0x99dd7		SHELL32+0x99dd3
SHELL32+0x99ddd		SHELL32+0x99dd9
SHELL32+0x99ddf		SHELL32+0x99ddb
SHELL32+0x99de2		SHELL32+0x99dde
SHELL32+0x99de4		SHELL32+0x99de0
SHELL32+0x99dea		SHELL32+0x99de6
SHELL32+0x99ded		SHELL32+0x99de9
SHELL32+0x99df5		SHELL32+0x99df1
SHELL32+0x99dfb		SHELL32+0x99df7
SHELL32+0x99dfd		SHELL32+0x99df9
SHELL32+0x99e00		SHELL32+0x99dfc
SHELL32+0x99e02		SHELL32+0x99dfe
SHELL32+0x99e08		SHELL32+0x99e04
SHELL32+0x99e0b		SHELL32+0x99e07
SHELL32+0x99e13		SHELL32+0x99e0f
SHELL32+0x99e19		SHELL32+0x99e15
SHELL32+0x99e1b		SHELL32+0x99e17
SHELL32+0x99e1e		SHELL32+0x99e1a
SHELL32+0x99e20		SHELL32+0x99e1c
SHELL32+0x99e26		SHELL32+0x99e22
SHELL32+0x99e2b		SHELL32+0x99e27
SHELL32+0x99e2e		SHELL32+0x99e2a
SHELL32+0x99e31		SHELL32+0x99e2d
SHELL32+0x99e34		SHELL32+0x99e30
SHELL32+0xa63b0		SHELL32+0xa63b0
SHLWAPI+0x14494		SHLWAPI+0x14494
SHLWAPI+0x14499		SHLWAPI+0x14499
SHLWAPI+0x1449a		SHLWAPI+0x1449a
SHLWAPI+0x1449e		SHLWAPI+0x1449e
SHLWAPI+0x144a1		SHLWAPI+0x144a1
SHLWAPI+0x144a4		SHLWAPI+0x144a4
SHLWAPI+0x144a7		SHLWAPI+0x144a7
SHLWAPI+0x144ad		SHLWAPI+0x144ad
SHLWAPI+0x144b0		SHLWAPI+0x144b0
SHLWAPI+0x144b3		SHLWAPI+0x144b3
SHLWAPI+0x144b5		SHLWAPI+0x144b5
SHLWAPI+0x144b8		SHLWAPI+0x144b8
SHLWAPI+0x144ba		SHLWAPI+0x144ba
SHLWAPI+0x144bd		SHLWAPI+0x144bd
SHLWAPI+0x144c0		SHLWAPI+0x144c0
SHLWAPI+0x144c2		SHLWAPI+0x144c2
SHLWAPI+0x144c4		SHLWAPI+0x144c4
SHLWAPI+0x144c7		SHLWAPI+0x144c7
SHLWAPI+0x144c9		SHLWAPI+0x144c9
SHLWAPI+0x144cb		SHLWAPI+0x144cb
SHLWAPI+0x144cf		SHLWAPI+0x144cf
SHLWAPI+0x144d2		SHLWAPI+0x144d2
SHLWAPI+0x144b5		SHLWAPI+0x144b5
SHLWAPI+0x144b8		SHLWAPI+0x144b8
SHLWAPI+0x144ba		SHLWAPI+0x144ba
SHLWAPI+0x144bd		SHLWAPI+0x144bd
SHLWAPI+0x144c0		SHLWAPI+0x144c0
SHLWAPI+0x144c2		SHLWAPI+0x144c2
SHLWAPI+0x144c4		SHLWAPI+0x144c4
SHLWAPI+0x144c7		SHLWAPI+0x144c7
SHLWAPI+0x144c9		SHLWAPI+0x144c9
SHLWAPI+0x144cb		SHLWAPI+0x144cb
SHLWAPI+0x144cf		SHLWAPI+0x144cf
SHLWAPI+0x144d2		SHLWAPI+0x144d2
SHLWAPI+0x144b5		SHLWAPI+0x144b5
SHLWAPI+0x144b8		SHLWAPI+0x144b8
SHLWAPI+0x144ba		SHLWAPI+0x144ba
SHLWAPI+0x144bd		SHLWAPI+0x144bd
SHLWAPI+0x144c0		SHLWAPI+0x144c0
SHLWAPI+0x144c2		SHLWAPI+0x144c2
SHLWAPI+0x144c4		SHLWAPI+0x144c4
SHLWAPI+0x144c7		SHLWAPI+0x144c7
SHLWAPI+0x144c9		SHLWAPI+0x144c9
SHLWAPI+0x144cb		SHLWAPI+0x144cb
SHLWAPI+0x144cf		SHLWAPI+0x144cf
SHLWAPI+0x144d2		SHLWAPI+0x144d2
SHLWAPI+0x144b5		SHLWAPI+0x144b5
SHLWAPI+0x144b8		SHLWAPI+0x144b8
SHLWAPI+0x144ba		SHLWAPI+0x144ba
SHLWAPI+0x144bd		SHLWAPI+0x144bd
SHLWAPI+0x144c0		SHLWAPI+0x144c0
SHLWAPI+0x144c2		SHLWAPI+0x144c2
SHLWAPI+0x144c4		SHLWAPI+0x144c4
SHLWAPI+0x144c7		SHLWAPI+0x144c7
SHLWAPI+0x144c9		SHLWAPI+0x144c9
SHLWAPI+0x144cb		SHLWAPI+0x144cb
SHLWAPI+0x144cf		SHLWAPI+0x144cf
SHLWAPI+0x144d2		SHLWAPI+0x144d2
SHLWAPI+0x144b5		SHLWAPI+0x144b5
SHLWAPI+0x144b8		SHLWAPI+0x144b8
SHLWAPI+0x144ba		SHLWAPI+0x144ba
SHLWAPI+0x144bd		SHLWAPI+0x144bd
SHLWAPI+0x144c0		SHLWAPI+0x144c0
SHLWAPI+0x144c2		SHLWAPI+0x144c2
SHLWAPI+0x144c4		SHLWAPI+0x144c4
SHLWAPI+0x144c7		SHLWAPI+0x144c7
SHLWAPI+0x144c9		SHLWAPI+0x144c9
SHLWAPI+0x144cb		SHLWAPI+0x144cb
SHLWAPI+0x144cf		SHLWAPI+0x144cf
SHLWAPI+0x144d2		SHLWAPI+0x144d2
SHLWAPI+0x144b5		SHLWAPI+0x144b5
SHLWAPI+0x144b8		SHLWAPI+0x144b8
SHLWAPI+0x144ba		SHLWAPI+0x144ba
SHLWAPI+0x144bd		SHLWAPI+0x144bd
SHLWAPI+0x144c0		SHLWAPI+0x144c0
SHLWAPI+0x144c2		SHLWAPI+0x144c2
SHLWAPI+0x144c4		SHLWAPI+0x144c4
SHLWAPI+0x144c7		SHLWAPI+0x144c7
SHLWAPI+0x144c9		SHLWAPI+0x144c9
SHLWAPI+0x144cb		SHLWAPI+0x144cb
SHLWAPI+0x144cf		SHLWAPI+0x144cf
SHLWAPI+0x144d2		SHLWAPI+0x144d2
SHLWAPI+0x144b5		SHLWAPI+0x144b5
SHLWAPI+0x144b8		SHLWAPI+0x144b8
SHLWAPI+0x144ba		SHLWAPI+0x144ba
SHLWAPI+0x144bd		SHLWAPI+0x144bd
SHLWAPI+0x144c0		SHLWAPI+0x144c0
SHLWAPI+0x144c2		SHLWAPI+0x144c2
SHLWAPI+0x144c4		SHLWAPI+0x144c4
SHLWAPI+0x144c7		SHLWAPI+0x144c7
SHLWAPI+0x144c9		SHLWAPI+0x144c9
SHLWAPI+0x144cb		SHLWAPI+0x144cb
SHLWAPI+0x144cf		SHLWAPI+0x144cf
SHLWAPI+0x144d2		SHLWAPI+0x144d2
SHLWAPI+0x144b5		SHLWAPI+0x144b5
SHLWAPI+0x144b8		SHLWAPI+0x144b8
SHLWAPI+0x144ba		SHLWAPI+0x144ba
SHLWAPI+0x144bd		SHLWAPI+0x144bd
SHLWAPI+0x144c0		SHLWAPI+0x144c0
SHLWAPI+0x144c2		SHLWAPI+0x144c2
SHLWAPI+0x144c4		SHLWAPI+0x144c4
SHLWAPI+0x144c7		SHLWAPI+0x144c7
SHLWAPI+0x144c9		SHLWAPI+0x144c9
SHLWAPI+0x144cb		SHLWAPI+0x144cb
SHLWAPI+0x144cf		SHLWAPI+0x144cf
SHLWAPI+0x144d2		SHLWAPI+0x144d2
SHLWAPI+0x144b5		SHLWAPI+0x144b5
SHLWAPI+0x144b8		SHLWAPI+0x144b8
SHLWAPI+0x144ba		SHLWAPI+0x144ba
SHLWAPI+0x144bd		SHLWAPI+0x144bd
SHLWAPI+0x144c0		SHLWAPI+0x144c0
SHLWAPI+0x144c2		SHLWAPI+0x144c2
SHLWAPI+0x144c4		SHLWAPI+0x144c4
SHLWAPI+0x144c7		SHLWAPI+0x144c7
SHLWAPI+0x144c9		SHLWAPI+0x144c9
SHLWAPI+0x144cb		SHLWAPI+0x144cb
SHLWAPI+0x144cf		SHLWAPI+0x144cf
SHLWAPI+0x144d2		SHLWAPI+0x144d2
SHLWAPI+0x144b5		SHLWAPI+0x144b5
SHLWAPI+0x144b8		SHLWAPI+0x144b8
SHLWAPI+0x144ba		SHLWAPI+0x144ba
SHLWAPI+0x144bd		SHLWAPI+0x144bd
SHLWAPI+0x144c0		SHLWAPI+0x144c0
SHLWAPI+0x144c2		SHLWAPI+0x144c2
SHLWAPI+0x144c4		SHLWAPI+0x144c4
SHLWAPI+0x144c7		SHLWAPI+0x144c7
SHLWAPI+0x144c9		SHLWAPI+0x144c9
SHLWAPI+0x144cb		SHLWAPI+0x144cb
SHLWAPI+0x144cf		SHLWAPI+0x144cf
SHLWAPI+0x144d2		SHLWAPI+0x144d2
SHLWAPI+0x144b5		SHLWAPI+0x144b5
SHLWAPI+0x144b8		SHLWAPI+0x144b8
SHLWAPI+0x144ba		SHLWAPI+0x144ba
SHLWAPI+0x144bd		SHLWAPI+0x144bd
SHLWAPI+0x144c0		SHLWAPI+0x144c0
SHLWAPI+0x144c2		SHLWAPI+0x144c2
SHLWAPI+0x144c4		SHLWAPI+0x144c4
SHLWAPI+0x144c7		SHLWAPI+0x144c7
SHLWAPI+0x144c9		SHLWAPI+0x144c9
SHLWAPI+0x144cb		SHLWAPI+0x144cb
SHLWAPI+0x144cf		SHLWAPI+0x144cf
SHLWAPI+0x144d2		SHLWAPI+0x144d2
SHLWAPI+0x144b5		SHLWAPI+0x144b5
SHLWAPI+0x144b8		SHLWAPI+0x144b8
SHLWAPI+0x144ba		SHLWAPI+0x144ba
SHLWAPI+0x144bd		SHLWAPI+0x144bd
SHLWAPI+0x144c0		SHLWAPI+0x144c0
SHLWAPI+0x144c2		SHLWAPI+0x144c2
SHLWAPI+0x144c4		SHLWAPI+0x144c4
SHLWAPI+0x144c7		SHLWAPI+0x144c7
SHLWAPI+0x144c9		SHLWAPI+0x144c9
SHLWAPI+0x144cb		SHLWAPI+0x144cb
SHLWAPI+0x144cf		SHLWAPI+0x144cf
